STANFORDRATE,BERKELEYRATE,STANFORDRATECOMP,BERKELEYRATECOMP,NTRIALS,NSUCCESSES,SAMPLESIZE,THRESHOLD,BERNOULLISOLNA,BERNOULLISOLNB,BERNOULLISOLNCPROBBOTHBERKWORK,BERNOULLISOLNCPROBBOTHWORK,BERNOULLISOLNCWITHOUT,BERNOULLISOLNCWITH,NORMALMEAN,NORMALVAR,NORMALSTD,THRESHOLDCC,NORMALZ,BERNOULLISOLND,FISHRATE,FISHSCALE,FISHOFFSET,FISHEQUIV,FISHNUM,FISHPROD,FISHUSERSPROB,FISHDATAPROB,VISITORSA,VISITORSOFFSET,DPROB,DZEROLAMBA,DONELAMBA,DZEROLAMBB,DONELAMBB,VISITORSTOTAL,DZEROLAMBSUM,DONELAMBSUM,PROBDZERO,PROBSUMTOT,FLIPONE,FLIPTWO,FLIPTHREE,FLOPRATE,FLOPBOUND,FLOPBOUNDMINUSONE,SMALLEST,SECONDSMALLEST,PROBSMALLEST,PROBSECONDSMALLEST,FLOPSCALAR,EFLIP,EFLOP
62,59,38,41,16,7,540,330,0.0428,0.029120463,0.3481,0.354323,0.66866842,0.66867196,334.8,127.22,11.28,330.5,0.3812,0.6485,3,5,-1,4,20,15,0.0418,0.168,6,-1,0.3,5,8,3,6,12,8,14,0.7364,0.0632,4,10,20,10,13,12,2,8,0.7916,0.0695,2,22.4767,10.9533
62,60,38,40,13,10,540,330,0.0456,0.101318877,0.36,0.364212,0.67274975,0.67275332,334.8,127.22,11.28,330.5,0.3812,0.6485,3,5,0,3,15,15,0.1024,0.224,6,-1,0.3,5,9,3,7,13,8,16,0.7893,0.0451,4,10,25,11,12,11,1,8,0.5793,0.1402,1,34.1632,29.3265
62,61,38,39,14,11,530,320,0.0484,0.081663015,0.3721,0.374238,0.67673293,0.67673652,328.6,124.87,11.17,320.5,0.7249,0.7657,3,5,1,2,10,15,0.0486,0.224,6,-1,0.3,5,10,3,8,14,8,18,0.844,0.0315,4,10,30,10,11,10,3,8,0.583,0.139,3,39.2333,34.4666
62,82,38,18,16,8,510,310,0.1414,0.061087287,0.6724,0.616225,0.74266693,0.7426707,316.2,120.16,10.96,310.5,0.52,0.6985,3,4,-1,4,16,12,0.0543,0.168,6,-1,0.3,6,8,4,6,13,10,14,0.7542,0.0828,4,10,35,11,13,12,2,8,0.6887,0.1038,2,36.5744,24.1489
62,83,38,17,12,8,510,310,0.1475,0.150238709,0.6889,0.629245,0.7451466,0.74515037,316.2,120.16,10.96,310.5,0.52,0.6985,3,4,0,3,12,12,0.1144,0.224,6,-1,0.3,6,9,4,7,14,10,16,0.8045,0.0644,4,10,40,10,12,11,1,8,0.6968,0.1011,1,39.2499,24.4998
62,84,38,16,18,11,510,300,0.1539,0.115789374,0.7056,0.642402,0.74757924,0.747583,316.2,120.16,10.96,300.5,1.4323,0.924,3,4,1,2,8,12,0.0655,0.224,6,-1,0.3,6,10,4,8,15,10,18,0.856,0.0479,4,10,45,11,11,10,3,8,0.4599,0.18,3,65.646,72.2919
62,85,38,15,19,8,510,300,0.1604,0.016577073,0.7225,0.655695,0.74996614,0.7499699,316.2,120.16,10.96,300.5,1.4323,0.924,3,6,-1,4,24,18,0.0328,0.168,6,-1,0.3,7,8,5,6,14,12,14,0.74,0.0951,4,10,50,10,13,12,2,8,0.7916,0.0695,2,41.4267,18.8534
62,86,38,14,17,7,510,300,0.1672,0.017705242,0.7396,0.669124,0.7523086,0.75231235,316.2,120.16,10.96,300.5,1.4323,0.924,3,6,0,3,18,18,0.0936,0.224,6,-1,0.3,7,9,5,7,15,12,16,0.7924,0.0804,4,10,55,11,12,11,1,8,0.5793,0.1402,1,60.0581,51.1161
62,87,38,13,13,7,510,300,0.174,0.097975024,0.7569,0.682689,0.75460781,0.75461157,316.2,120.16,10.96,300.5,1.4323,0.924,3,6,1,2,12,18,0.0368,0.224,6,-1,0.3,7,10,5,8,16,12,18,0.8465,0.0645,4,10,60,10,11,10,3,8,0.583,0.139,3,64.9605,55.921
62,88,38,12,12,5,510,300,0.1811,0.034590558,0.7744,0.69639,0.75686498,0.75686872,316.2,120.16,10.96,300.5,1.4323,0.924,3,10,-1,4,40,30,0.0139,0.168,6,-1,0.4,5,8,3,6,12,8,14,0.6423,0.0682,4,10,65,11,13,12,2,8,0.6887,0.1038,2,58.3547,37.7094
62,89,38,11,18,8,510,300,0.1884,0.026659035,0.7921,0.710227,0.75908122,0.75908496,316.2,120.16,10.96,300.5,1.4323,0.924,3,10,0,3,30,30,0.0726,0.224,6,-1,0.4,5,9,3,7,13,8,16,0.7066,0.0503,4,10,70,10,12,11,1,8,0.6968,0.1011,1,60.7776,37.5552
62,90,38,10,19,11,510,300,0.1958,0.098999915,0.81,0.724201,0.76125764,0.76126138,316.2,120.16,10.96,300.5,1.4323,0.924,3,10,1,2,20,30,0.0134,0.224,6,-1,0.4,5,10,3,8,14,8,18,0.7767,0.0363,4,10,75,11,11,10,3,8,0.4599,0.18,3,98.2625,107.5251
63,59,37,41,14,7,530,330,0.0455,0.064167216,0.3481,0.356409,0.664754,0.66475752,333.9,123.54,11.11,330.5,0.3059,0.6202,3,8,-1,4,32,24,0.0211,0.168,6,-1,0.4,6,8,4,6,13,10,14,0.6636,0.0861,4,10,80,10,13,12,2,8,0.7916,0.0695,2,60.3767,26.7534
63,60,37,40,14,10,530,330,0.0484,0.131983133,0.36,0.366328,0.66886505,0.66886859,333.9,123.54,11.11,330.5,0.3059,0.6202,3,8,0,3,24,24,0.0812,0.224,6,-1,0.4,6,9,4,7,14,10,16,0.7257,0.0685,4,10,85,11,12,11,1,8,0.5793,0.1402,1,85.9529,72.9057
63,61,37,39,16,10,520,320,0.0514,0.126479436,0.3721,0.376382,0.67287769,0.67288126,327.6,121.21,11.01,320.5,0.6449,0.7405,3,8,1,2,16,24,0.0219,0.224,6,-1,0.4,6,10,4,8,15,10,18,0.7926,0.0523,4,10,90,10,11,10,3,8,0.583,0.139,3,90.6877,77.3755
63,82,37,18,15,6,500,300,0.1484,0.016267578,0.6724,0.618975,0.7393667,0.73937047,315,116.55,10.8,300.5,1.3431,0.9104,3,12,-1,4,48,36,0.0094,0.168,6,-1,0.4,7,8,5,6,14,12,14,0.6466,0.0967,4,11,20,11,14,13,3,8,0.7813,0.0729,3,23.8988,12.7976
63,83,37,17,20,12,500,300,0.1548,0.103781219,0.6889,0.632025,0.74186968,0.74187344,315,116.55,10.8,300.5,1.3431,0.9104,3,12,0,3,36,36,0.0663,0.224,6,-1,0.4,7,9,5,7,15,12,16,0.7105,0.0831,4,11,25,12,13,12,2,8,0.576,0.1413,2,35.7243,31.4486
63,84,37,16,13,8,500,300,0.1614,0.136288182,0.7056,0.64521,0.74432534,0.7443291,315,116.55,10.8,300.5,1.3431,0.9104,3,12,1,2,24,36,0.0084,0.224,6,-1,0.4,7,10,5,8,16,12,18,0.78,0.0679,4,11,30,11,12,11,1,8,0.5793,0.1402,1,39.3422,33.6844
63,85,37,15,19,10,500,300,0.1682,0.062235182,0.7225,0.658532,0.74673501,0.74673877,315,116.55,10.8,300.5,1.3431,0.9104,4,5,-1,5,25,20,0.0446,0.1563,6,-1,0.6,5,8,3,6,12,8,14,0.4439,0.0783,4,11,35,12,14,13,3,8,0.6815,0.1062,3,38.1819,26.3637
63,86,37,14,17,12,500,300,0.1751,0.118407127,0.7396,0.67199,0.74909995,0.74910371,315,116.55,10.8,300.5,1.3431,0.9104,4,5,0,4,20,20,0.0888,0.1954,6,-1,0.6,5,9,3,7,13,8,16,0.5169,0.0607,4,11,40,11,13,12,2,8,0.6887,0.1038,2,40.9305,26.861
63,87,37,13,12,9,500,300,0.1822,0.130663432,0.7569,0.685584,0.7514214,0.75142515,315,116.55,10.8,300.5,1.3431,0.9104,4,5,1,3,15,20,0.0516,0.1954,6,-1,0.6,5,10,3,8,14,8,18,0.6072,0.0461,4,11,45,12,12,11,1,8,0.4616,0.1795,1,65.4917,70.9834
