NA,PA,PB,NB,MUX,VARX,MUY,VARY,MUD,VARD,ZTRANSFORM,SOLNBINOMIAL,XVAR,YVAR,XBOUND,YBOUND,CONST,SOLNPDF,VARA,VARB,VARC,VARTEST,SOLNCODE
100,0.4,0.3,50,40,24,15,10.5,10,66,-1.16937,0.87887,2,2,1,1,0.6,0.6,1,1,1,88,1
100,0.4,0.35,50,40,24,17.5,11.375,5,69.5,-0.53978,0.70533,2,2,1,2,0.1875,1.25,1,1,1,150,1
100,0.4,0.4,50,40,24,20,12,0,72,0.05893,0.47651,2,2,1,3,0.09091,1.90909,1,1,2,88,1
100,0.45,0.3,50,45,24.75,15,10.5,15,66.75,-1.77477,0.96203,2,2,2,1,0.13636,0.54545,1,1,2,150,1
100,0.45,0.35,50,45,24.75,17.5,11.375,10,70.25,-1.13344,0.87149,2,2,2,2,0.05357,1.14286,1,1,3,88,1
100,0.45,0.4,50,45,24.75,20,12,5,72.75,-0.52759,0.70111,2,2,2,3,0.02941,1.76471,1,1,3,150,1
100,0.5,0.3,50,50,25,15,10.5,20,67,-2.3823,0.9914,2,2,3,1,0.04762,0.52381,1,1,4,88,1
100,0.5,0.35,50,50,25,17.5,11.375,15,70.5,-1.72692,0.95791,2,2,3,2,0.02083,1.08333,1,1,4,150,1
100,0.5,0.4,50,50,25,20,12,10,73,-1.11189,0.86691,2,2,3,3,0.01235,1.66667,1,2,1,88,3
100,0.55,0.3,50,55,24.75,15,10.5,25,66.75,-2.99875,0.99864,2,3,1,1,0.46154,0.61538,1,2,1,150,3
100,0.55,0.35,50,55,24.75,17.5,11.375,2,70.25,-2.32654,0.99001,2,3,1,2,0.13636,1.27273,1,2,2,88,3
100,0.55,0.4,50,55,24.75,20,12,15,72.75,-1.70001,0.95544,2,3,1,3,0.06452,1.93548,1,2,2,150,3
100,0.6,0.3,50,60,24,15,10.5,30,66,-3.6312,0.99986,2,3,2,1,0.12,0.56,1,2,3,88,3
100,0.6,0.35,50,60,24,17.5,11.375,25,69.5,-2.93882,0.99835,2,3,2,2,0.04412,1.17647,1,2,3,150,3
100,0.6,0.4,50,60,24,20,12,20,72,-2.2981,0.98922,2,3,2,3,0.02326,1.81395,1,2,4,88,3
100,0.7,0.3,50,70,21,15,10.5,40,63,-4.97653,1,2,3,3,1,0.04444,0.53333,1,2,4,150,3
100,0.7,0.35,50,70,21,17.5,11.375,35,66.5,-4.23066,0.99999,2,3,3,2,0.01852,1.11111,1,3,1,88,3
